City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Ayame,CI,2021-04-06 21:19:30,5.6083,-3.1563,77.07,91,12,3.2
134,Muros,ES,2021-04-06 21:19:31,42.7762,-9.0603,52.0,65,1,20.36
135,Toora-Khem,RU,2021-04-06 21:19:31,52.4675,96.11,25.32,97,12,1.5
136,Guerrero Negro,MX,2021-04-06 21:19:32,27.9769,-114.0611,71.46,49,98,18.84
137,Busselton,AU,2021-04-06 21:19:32,-33.65,115.3333,59.0,97,73,5.53
138,Jieshou,CN,2021-04-06 21:19:32,33.2634,115.3611,54.55,75,100,5.08
139,Puerto Ayora,EC,2021-04-06 21:15:19,-0.7393,-90.3518,80.6,83,20,9.22
140,Saint George,US,2021-04-06 21:19:33,37.1041,-113.5841,73.0,8,1,3.44
141,Kunda,IN,2021-04-06 21:19:33,25.7167,81.5167,82.8,11,77,6.78
142,Kohtla-Jarve,EE,2021-04-06 21:19:34,59.3986,27.2731,32.5,68,1,16.4
143,Dongsheng,CN,2021-04-06 21:19:34,39.8161,109.9776,39.29,70,30,4.63
144,Southbridge,US,2021-04-06 21:19:34,42.0751,-72.0334,61.0,41,98,5.01
145,Lavrentiya,RU,2021-04-06 21:19:35,65.5833,-171.0,1.78,84,9,3.94
146,Marsa Matruh,EG,2021-04-06 21:19:35,31.3525,27.2453,64.4,68,0,13.8
147,Charagua,BO,2021-04-06 21:19:35,-19.8,-63.2167,80.6,61,75,5.28
148,Hilo,US,2021-04-06 21:19:36,19.7297,-155.09,69.8,83,90,10.36
149,Dingle,PH,2021-04-06 21:19:36,10.9995,122.6711,74.26,90,91,6.8
150,Merauke,ID,2021-04-06 21:19:36,-8.4667,140.3333,79.59,83,100,5.06
151,Egvekinot,RU,2021-04-06 21:19:37,66.3167,-179.1667,-1.16,71,0,0.54
152,Puerto Escondido,MX,2021-04-06 21:19:37,15.85,-97.0667,87.8,70,90,6.91
153,La Ronge,CA,2021-04-06 21:14:46,55.1001,-105.2842,50.0,37,65,6.91
154,Tiznit,MA,2021-04-06 21:18:23,29.5833,-9.5,57.94,79,100,6.26
155,Remontnoye,RU,2021-04-06 21:19:37,46.5614,43.6501,41.0,70,31,6.71
156,Kaa-Khem,RU,2021-04-06 21:19:38,51.6833,94.7333,35.89,62,5,4.32
157,Coahuayana,MX,2021-04-06 21:19:38,18.7333,-103.6833,80.6,54,40,6.91
158,Cockburn Town,TC,2021-04-06 21:18:51,21.4612,-71.1419,74.25,67,100,17.98
159,Luanda,AO,2021-04-06 21:19:39,-8.8368,13.2343,80.6,89,40,8.05
160,Vestmanna,FO,2021-04-06 21:19:39,62.1564,-7.1664,28.4,69,75,18.41
161,Datong,CN,2021-04-06 21:19:39,40.0936,113.2914,44.38,43,0,5.93
162,Lesozavodsk,RU,2021-04-06 21:19:40,45.4794,133.4244,30.88,66,4,6.93
