City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
100,Moranbah,AU,76.08,broken clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
101,Inirida,CO,73.54,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
103,Lasa,IT,50.0,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
104,Nantucket,US,51.01,overcast clouds,41.2835,-70.0995,Jared Coffin House
106,Neyshabur,IR,63.95,broken clouds,36.2133,58.7958,Amiran Hotel
108,Constitucion,CL,57.43,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
109,Ramotswa,BW,66.2,clear sky,-24.8716,25.8699,Nako Guest House @ Ramotswa
111,Along,IN,59.72,few clouds,28.1667,94.7667,Hotel West
116,Acari,PE,74.5,scattered clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
117,Lebu,CL,55.06,clear sky,-37.6167,-73.65,Hostal Las Lilas
118,Prata,BR,71.96,clear sky,-19.3072,-48.9242,Hotel Pontal Aluga-se Quitinetes e suítes mensalmente
119,Mahebourg,MU,78.8,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
121,Saldanha,ZA,60.8,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
125,Katherine,AU,73.4,broken clouds,-14.4667,132.2667,Pine Tree Motel
127,Southbridge,US,73.0,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
129,Cuamba,MZ,65.21,overcast clouds,-14.8031,36.5372,Hotel Vision
130,Hualmay,PE,71.51,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
132,Coquimbo,CL,64.4,clear sky,-29.9533,-71.3436,Punto de encuentro
133,Caravelas,BR,74.82,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
136,Bethel,US,68.0,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
139,Gat,IL,55.99,scattered clouds,31.61,34.7642,OlusHome
141,Farmington,US,70.0,clear sky,36.7281,-108.2187,Courtyard by Marriott Farmington
142,Tura,IN,71.92,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
143,Te Anau,NZ,55.36,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
144,Rocha,UY,66.88,heavy intensity rain,-34.4833,-54.3333,Beleza Pura B&B
146,Kuryk,KZ,64.54,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
147,Meulaboh,ID,77.29,broken clouds,4.1363,96.1285,Kost Pria
149,Tabou,CI,79.92,overcast clouds,4.423,-7.3528,hotêl doufoulougou
153,Charters Towers,AU,75.9,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
154,Johnson City,US,64.4,overcast clouds,36.3134,-82.3535,Hampton Inn Johnson City
155,Kaitangata,NZ,63.0,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
156,Sao Jose Do Belmonte,BR,79.14,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
157,Chuy,UY,67.78,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
158,Sarakhs,IR,62.6,scattered clouds,36.5449,61.1577,مهمان سرای شرکت گاز
159,Ancud,CL,55.0,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
